subscription_id,district_id,start_date,end_date
1,5,2020-04-01,2021-07-31
18663,49396,2025-07-25,2025-08-08
17031,42259,2024-12-10,2025-12-10
17032,47993,2024-12-09,2025-12-09
18571,32269,2025-08-25,2026-08-31
18729,49430,2025-08-07,2025-08-21
16102,38803,2024-09-16,2025-08-11
18768,49453,2025-08-14,2025-08-28
18770,43597,2025-08-14,2026-08-31
12505,34664,2023-08-05,2024-08-05
12775,44401,2023-09-01,2024-08-31
12885,38632,2023-09-13,2024-09-13
18820,49489,2025-08-21,2025-09-04
12910,38802,2023-09-14,2024-08-31
18821,41678,2025-08-21,2026-08-31
18910,49545,2025-09-02,2025-09-16
18409,49221,2025-06-11,2025-06-25
18826,37424,2025-08-24,2026-08-24
18829,49493,2025-08-22,2025-09-05
18838,49498,2025-08-24,2025-09-07
18844,36814,2025-08-25,2026-08-31
12976,38731,2023-09-01,2024-09-22
13013,36059,2023-10-22,2024-10-22
14428,45687,2024-02-15,2025-02-15
68,2,2020-04-01,2021-07-31
18854,49509,2025-08-26,2025-09-09
15566,46900,2024-07-24,2025-08-31
17675,48560,2025-03-04,2026-08-31
18863,49513,2025-08-27,2025-09-10
77,32024,2020-07-01,2021-07-01
18868,49514,2025-08-27,2025-09-10
18882,36965,2025-08-28,2026-08-31
18883,37770,2025-08-28,2026-08-31
18902,49537,2025-08-30,2025-09-13
18908,49543,2025-09-01,2025-09-15
15968,36816,2024-09-10,2025-09-10
15969,47135,2024-09-06,2025-09-06
17350,48267,2025-01-31,2026-01-31
17416,43932,2025-02-03,2026-02-03
13556,37724,2023-09-01,2024-08-31
17684,48569,2025-03-04,2026-03-04
17685,46051,2025-03-08,2026-03-08
17695,48575,2025-03-04,2026-03-04
16001,39006,2024-09-10,2025-08-31
14630,41230,2024-03-13,2025-08-31
13593,42451,2023-10-23,2024-08-31
16037,43418,2024-09-11,2025-09-11
12465,36812,2023-08-20,2024-08-20
12497,40711,2023-08-03,2024-08-03
12506,43057,2023-09-01,2024-08-31
12530,42194,2023-08-15,2024-09-01
12776,40021,2023-09-01,2024-08-31
12886,43458,2023-09-14,2024-09-14
16056,46971,2024-09-12,2025-09-12
16060,44706,2024-09-12,2025-09-12
12919,43042,2023-09-18,2024-09-18
16064,681,2024-09-12,2025-08-31
15135,46589,2024-05-15,2025-05-15
16065,45293,2024-09-12,2025-08-31
14639,44148,2024-03-14,2025-08-31
16067,44728,2024-09-13,2025-09-13
18442,49252,2025-06-17,2025-07-01
13573,43665,2023-10-19,2024-10-19
18136,41306,2025-05-10,2026-05-10
18911,49546,2025-09-02,2025-09-16
18573,49348,2025-07-09,2026-07-09
18410,49222,2025-06-11,2026-08-31
18664,36599,2025-07-28,2026-08-31
15438,36829,2024-08-16,2025-08-13
17344,44035,2025-01-30,2026-01-30
14651,45929,2024-04-01,2025-08-17
18730,49431,2025-08-07,2026-08-31
14529,34901,2024-02-28,2025-02-28
18769,49454,2025-08-14,2026-08-31
15761,47007,2024-08-20,2025-08-20
12887,36552,2023-09-12,2024-08-20
16073,32196,2024-09-13,2025-08-13
17672,48558,2025-03-03,2026-03-03
159,32134,2020-07-01,2021-07-31
18912,49547,2025-09-02,2025-09-16
14620,43053,2024-08-07,2025-08-07
14626,46175,2024-03-13,2025-03-13
18771,32196,2025-08-14,2026-06-30
166,32166,2020-07-01,2021-06-30
18822,37788,2025-08-21,2026-08-31
18824,49491,2025-08-21,2025-09-04
18827,47238,2025-09-18,2026-08-31
170,32196,2020-07-01,2021-07-31
173,32224,2020-07-01,2021-06-30
18830,36905,2025-07-18,2026-08-22
13580,45311,2023-10-19,2024-10-19
17698,48465,2025-02-18,2026-03-05
18913,49548,2025-09-02,2025-09-16
13588,44893,2023-10-13,2024-10-13
18839,49499,2025-08-24,2025-09-07
184,32260,2020-07-01,2021-06-30
185,32269,2020-07-01,2021-07-02
18845,46927,2025-08-18,2026-08-25
18855,49510,2025-08-26,2025-09-09
18864,47041,2025-08-24,2026-08-27
18869,49515,2025-08-27,2025-09-10
192,367,2020-07-01,2021-08-18
18884,49524,2025-08-28,2026-08-31
18894,49533,2025-08-29,2026-08-31
13628,45350,2023-10-26,2024-11-05
15983,44585,2024-09-01,2025-09-09
18903,49538,2025-08-30,2025-09-13
18909,49544,2025-09-01,2025-09-15
194,24199,2020-07-01,2021-06-30
12299,41416,2023-08-07,2024-08-31
16002,41966,2024-11-30,2025-11-30
12507,43218,2023-08-02,2024-08-02
12673,38576,2023-09-01,2024-08-31
16057,47187,2024-09-12,2025-06-30
12477,41080,2023-07-28,2024-07-28
12914,38793,2023-09-15,2024-09-10
12777,43416,2023-09-08,2024-09-08
211,32410,2020-07-01,2021-06-30
16038,43422,2024-09-27,2025-09-27
219,32422,2020-07-01,2021-07-01
224,32424,2020-07-01,2021-07-31
16146,47054,2024-09-18,2025-09-18
16066,46745,2024-09-12,2025-09-12
16068,47193,2024-09-13,2025-09-13
16104,47224,2024-09-16,2025-09-16
14430,40387,2024-02-15,2025-02-15
18914,49549,2025-09-02,2025-09-16
18916,49551,2025-09-02,2025-09-16
13517,44869,2023-10-13,2024-10-13
18917,49552,2025-09-02,2025-09-16
14530,42319,2024-03-10,2025-03-10
16122,47238,2024-09-17,2025-09-17
251,32498,2020-07-01,2021-07-12
18443,49253,2025-06-17,2026-08-31
18574,35294,2025-08-09,2026-08-09
257,32518,2020-07-01,2021-07-31
18411,49223,2025-06-11,2025-06-25
18665,49397,2025-07-25,2025-08-08
262,429,2020-07-01,2021-07-31
18731,49432,2025-08-07,2025-08-21
18772,38419,2025-09-01,2026-08-31
15762,43048,2024-09-01,2025-08-18
18823,49490,2025-08-21,2025-09-04
18828,49492,2025-08-21,2025-09-04
18831,36901,2025-08-22,2026-08-31
18840,49500,2025-08-24,2025-09-07
18846,49504,2025-08-25,2026-08-25
16003,43360,2024-09-07,2025-09-10
16030,43001,2024-09-11,2025-09-11
13611,43657,2023-10-24,2024-10-24
16041,36807,2024-09-11,2025-08-31
18856,49511,2025-08-26,2026-08-31
18865,5361,2025-08-27,2026-08-31
18870,49516,2025-08-27,2025-09-10
17673,48559,2025-03-03,2026-03-03
15971,44553,2024-09-06,2025-08-27
13639,43667,2023-10-19,2024-10-27
18885,49525,2025-08-28,2026-08-31
13641,45225,2023-10-21,2024-10-27
16074,35674,2024-09-13,2025-09-13
16075,44592,2024-09-13,2025-09-13
18895,49534,2025-08-29,2025-09-12
18904,49539,2025-08-30,2025-09-13
13691,41657,2023-11-02,2024-08-31
17710,39733,2025-09-01,2026-08-31
12508,43205,2023-08-02,2024-08-31
12674,36357,2023-09-01,2024-08-31
12888,37307,2023-09-12,2024-09-12
291,2423,2020-07-02,2021-07-31
12915,41649,2023-09-15,2024-08-31
294,23297,2020-07-02,2021-07-31
