Customer Internal ID,Customer Number,Subscription Name,Subscription Internal ID,DR District ID,State Date,End Date
27045,C002427,2020-08-20 - 2021-08-02,917,36357,08/20/2020,08/02/2021
27045,C002427,2021-08-03 - 2022-08-07,6362,36357,08/03/2021,08/07/2022
27045,C002427,2022-08-08 - 2023-08-31,9731,36357,08/08/2022,08/31/2023
27045,C002427,2023-09-01 - 2024-08-31,12674,36357,09/01/2023,08/31/2024
27045,C002427,2024-09-01 - 2025-08-31,15148,36357,09/01/2024,08/31/2025
22344,C010917,2020-09-08 - 2021-07-31,1347,36829,09/08/2020,07/31/2021
22344,C010917,2021-08-01 - 2022-08-01,6539,36829,08/01/2021,08/01/2022
22344,C010917,2022-08-18 - 2023-08-02,10450,36829,08/18/2022,08/02/2023
22344,C010917,2023-08-03 - 2024-08-15,12006,36829,08/03/2023,08/15/2024
22344,C010917,2024-08-16 - 2025-08-13,15438,36829,08/16/2024,08/13/2025
22344,C010917,2025-08-14 - 2026-08-31,18680,36829,08/14/2025,08/31/2026
16836,C002439,2020-10-27 - 2021-07-31,2689,37866,10/27/2020,07/31/2021
16836,C002439,2021-09-15 - 2022-08-29,7863,37866,09/15/2021,08/29/2022
16836,C002439,2022-08-30 - 2023-08-31,10541,37866,08/30/2022,08/31/2023
16836,C002439,2024-04-25 - 2025-08-31,14965,37866,04/25/2024,08/31/2025
6870,C011943,2020-09-10 - 2021-07-31,1397,36874,09/10/2020,07/31/2021
6870,C011943,2021-08-01 - 2022-08-01,7098,36874,08/01/2021,08/01/2022
6870,C011943,2022-08-04 - 2023-08-31,10336,36874,08/04/2022,08/31/2023
6870,C011943,2023-09-01 - 2024-08-31,11908,36874,09/01/2023,08/31/2024
6870,C011943,2024-09-01 - 2025-08-31,15061,36874,09/01/2024,08/31/2025
11617,C001920,2020-09-02 - 2021-07-31,1217,36732,09/02/2020,07/31/2021
11617,C001920,2021-08-01 - 2022-08-01,6721,36732,08/01/2021,08/01/2022
11617,C001920,2022-08-02 - 2023-08-02,9388,36732,08/02/2022,08/02/2023
11617,C001920,2023-08-03 - 2024-08-03,11875,36732,08/03/2023,08/03/2024
11617,C001920,2024-08-04 - 2025-08-25,15490,36732,08/04/2024,08/25/2025
11617,C001920,2025-08-26 - 2026-08-31,18862,36732,08/26/2025,08/31/2026
21957,C002678,2020-07-20 - 2021-07-31,589,34916,07/20/2020,07/31/2021
21957,C002678,2021-09-13 - 2022-08-23,7817,34916,09/13/2021,08/23/2022
21957,C002678,2022-08-24 - 2023-08-14,10466,34916,08/24/2022,08/14/2023
21957,C002678,2023-08-15 - 2024-08-31,11896,34916,08/15/2023,08/31/2024
21957,C002678,2024-09-01 - 2025-08-31,15576,34916,09/01/2024,08/31/2025
518597,C058709,2020-11-09 - 2021-07-31,3007,16914,11/09/2020,07/31/2021
518597,C058709,2021-09-20 - 2022-09-19,7936,16914,09/20/2021,09/19/2022
518597,C058709,2022-09-26 - 2023-09-26,10872,16914,09/26/2022,09/26/2023
518597,C058709,2023-10-02 - 2024-10-02,13251,16914,10/02/2023,10/02/2024
518597,C058709,2024-10-10 - 2025-10-10,16423,16914,10/10/2024,10/10/2025
29340,C025569,2020-10-12 - 2021-07-31,2293,37555,10/12/2020,07/31/2021
29340,C025569,2021-08-01 - 2022-08-31,7147,37555,08/01/2021,08/31/2022
29340,C025569,2022-09-01 - 2023-08-31,9640,37555,09/01/2022,08/31/2023
29340,C025569,2023-11-08 - 2024-08-31,13742,37555,11/08/2023,08/31/2024
29340,C025569,2025-02-04 - 2026-08-31,17466,37555,02/04/2025,08/31/2026
1931,C013027,2020-10-09 - 2021-08-01,2238,37518,10/09/2020,08/01/2021
1931,C013027,2021-08-02 - 2022-08-02,6733,37518,08/02/2021,08/02/2022
1931,C013027,2022-10-17 - 2023-08-31,11068,37518,10/17/2022,08/31/2023
1931,C013027,2023-09-01 - 2024-08-31,12432,37518,09/01/2023,08/31/2024
1931,C013027,2024-10-29 - 2025-08-24,16620,37518,10/29/2024,08/24/2025
1931,C013027,2025-08-25 - 2026-08-31,18566,37518,08/25/2025,08/31/2026
29953,C032590,2020-08-14 - 2021-07-31,842,5101,08/14/2020,07/31/2021
29953,C032590,2021-08-01 - 2022-07-31,6400,5101,08/01/2021,07/31/2022
29953,C032590,2022-08-12 - 2023-07-23,10405,5101,08/12/2022,07/23/2023
29953,C032590,2023-07-24 - 2024-08-31,11936,5101,07/24/2023,08/31/2024
29953,C032590,2024-09-01 - 2025-07-23,14310,5101,09/01/2024,07/23/2025
29953,C032590,2025-07-24 - 2026-08-31,18658,5101,07/24/2025,08/31/2026
26947,C000397,2020-09-18 - 2021-07-31,1674,37087,09/18/2020,07/31/2021
26947,C000397,2021-08-01 - 2022-06-30,7375,37087,08/01/2021,06/30/2022
26947,C000397,2022-10-11 - 2023-08-28,11015,37087,10/11/2022,08/28/2023
26947,C000397,2023-08-29 - 2024-08-31,12455,37087,08/29/2023,08/31/2024
26947,C000397,2024-09-01 - 2025-08-31,15378,37087,09/01/2024,08/31/2025
1029951,C058497:1,2020-10-30 - 2021-07-31,2744,37911,10/30/2020,07/31/2021
1029951,C058497:1,2021-08-18 - 2022-08-18,7457,37911,08/18/2021,08/18/2022
1029951,C058497:1,2022-08-29 - 2023-08-31,10545,37911,08/29/2022,08/31/2023
1029951,C058497:1,2023-09-18 - 2024-08-31,12922,37911,09/18/2023,08/31/2024
1029951,C058497:1,2024-10-07 - 2025-10-07,16373,37911,10/07/2024,10/07/2025
27652,C013165,2020-09-28 - 2021-07-31,1878,37255,09/28/2020,07/31/2021
27652,C013165,2021-08-01 - 2022-08-01,6701,37255,08/01/2021,08/01/2022
27652,C013165,2022-08-02 - 2023-08-31,10267,37255,08/02/2022,08/31/2023
27652,C013165,2023-09-01 - 2024-09-01,12081,37255,09/01/2023,09/01/2024
27652,C013165,2024-09-10 - 2025-09-10,16010,37255,09/10/2024,09/10/2025
1407,C004046,2020-10-09 - 2021-07-31,2234,37516,10/09/2020,07/31/2021
1407,C004046,2021-09-10 - 2022-09-12,7780,37516,09/10/2021,09/12/2022
1407,C004046,2022-09-14 - 2023-08-31,10745,37516,09/14/2022,08/31/2023
1407,C004046,2023-09-20 - 2024-08-31,12954,37516,09/20/2023,08/31/2024
1407,C004046,2024-09-19 - 2025-08-31,16187,37516,09/19/2024,08/31/2025
11635,C002291,2020-10-05 - 2021-07-31,2059,37395,10/05/2020,07/31/2021
11635,C002291,2021-09-14 - 2022-09-14,7841,37395,09/14/2021,09/14/2022
11635,C002291,2022-09-19 - 2023-08-15,10790,37395,09/19/2022,08/15/2023
11635,C002291,2023-08-16 - 2024-08-30,12533,37395,08/16/2023,08/30/2024
11635,C002291,2024-11-11 - 2025-08-31,16747,37395,11/11/2024,08/31/2025
32317,C007076,2020-09-25 - 2021-07-31,1787,37188,09/25/2020,07/31/2021
32317,C007076,2021-09-28 - 2022-09-28,8073,37188,09/28/2021,09/28/2022
32317,C007076,2022-09-29 - 2023-08-31,10204,37188,09/29/2022,08/31/2023
32317,C007076,2023-11-08 - 2024-11-08,13740,37188,11/08/2023,11/08/2024
32317,C007076,2024-11-11 - 2025-08-31,16741,37188,11/11/2024,08/31/2025
32317,C007076,2025-09-01 - 2026-08-31,17946,37188,09/01/2025,08/31/2026
28129,C016917,2020-08-15 - 2021-07-31,2132,37451,08/15/2020,07/31/2021
28129,C016917,2021-08-01 - 2022-08-01,6068,37451,08/01/2021,08/01/2022
28129,C016917,2022-08-09 - 2023-08-23,10367,37451,08/09/2022,08/23/2023
28129,C016917,2023-08-24 - 2024-08-31,10917,37451,08/24/2023,08/31/2024
28129,C016917,2024-09-10 - 2025-07-21,16012,37451,09/10/2024,07/21/2025
28129,C016917,2025-07-22 - 2026-08-31,18226,37451,07/22/2025,08/31/2026
25416,C036670,2020-10-21 - 2021-08-23,2570,37772,10/21/2020,08/23/2021
25416,C036670,2021-08-24 - 2022-08-16,7526,37772,08/24/2021,08/16/2022
25416,C036670,2022-08-17 - 2023-08-31,10282,37772,08/17/2022,08/31/2023
25416,C036670,2023-09-11 - 2024-08-31,12879,37772,09/11/2023,08/31/2024
25416,C036670,2024-09-01 - 2025-08-31,15638,37772,09/01/2024,08/31/2025
3175,C022246,2020-10-15 - 2021-07-31,2458,37685,10/15/2020,07/31/2021
3175,C022246,2021-10-12 - 2022-10-12,8323,37685,10/12/2021,10/12/2022
3175,C022246,2023-07-26 - 2024-08-31,12457,37685,07/26/2023,08/31/2024
3175,C022246,2024-09-01 - 2025-08-31,15557,37685,09/01/2024,08/31/2025
3175,C022246,2025-09-01 - 2026-08-31,18395,37685,09/01/2025,08/31/2026
32215,C004430,2020-09-11 - 2021-08-31,1431,36898,09/11/2020,08/31/2021
32215,C004430,2021-09-01 - 2022-08-10,7020,36898,09/01/2021,08/10/2022
32215,C004430,2022-08-11 - 2023-08-17,10394,36898,08/11/2022,08/17/2023
32215,C004430,2023-08-18 - 2024-08-31,11857,36898,08/18/2023,08/31/2024
32215,C004430,2024-09-01 - 2025-08-31,15012,36898,09/01/2024,08/31/2025
561098,C059098,2020-10-09 - 2021-09-06,2226,37511,10/09/2020,09/06/2021
561098,C059098,2021-09-07 - 2022-09-06,7684,37511,09/07/2021,09/06/2022
561098,C059098,2023-09-20 - 2024-09-20,12953,37511,09/20/2023,09/20/2024
561098,C059098,2024-10-30 - 2025-10-30,16634,37511,10/30/2024,10/30/2025
33308,C017702,2020-10-12 - 2021-07-31,2315,37573,10/12/2020,07/31/2021
33308,C017702,2021-09-10 - 2022-09-10,7776,37573,09/10/2021,09/10/2022
33308,C017702,2022-09-19 - 2023-08-31,10786,37573,09/19/2022,08/31/2023
33308,C017702,2024-04-05 - 2024-08-31,14812,37573,04/05/2024,08/31/2024
33308,C017702,2024-09-01 - 2025-08-31,14813,37573,09/01/2024,08/31/2025
7603,C017690,2020-10-07 - 2021-07-31,2164,37467,10/07/2020,07/31/2021
7603,C017690,2021-10-22 - 2022-08-15,8460,37467,10/22/2021,08/15/2022
7603,C017690,2022-08-16 - 2023-08-20,10397,37467,08/16/2022,08/20/2023
7603,C017690,2023-08-21 - 2024-08-21,12548,37467,08/21/2023,08/21/2024
7603,C017690,2024-08-22 - 2025-08-31,15603,37467,08/22/2024,08/31/2025
7603,C017690,2025-09-01 - 2026-08-31,15604,37467,09/01/2025,08/31/2026
32157,C003044,2023-10-31 - 2024-10-31,13669,45378,10/31/2023,10/31/2024
32157,C003044,2024-11-01 - 2025-11-01,15786,45378,11/01/2024,11/01/2025
13220,C020421,2020-07-31 - 2021-07-31,683,1168,07/31/2020,07/31/2021
13220,C020421,2021-08-01 - 2022-08-28,7073,1168,08/01/2021,08/28/2022
13220,C020421,2022-08-29 - 2023-08-28,10152,1168,08/29/2022,08/28/2023
13220,C020421,2024-01-26 - 2025-08-25,14251,1168,01/26/2024,08/25/2025
